naics_3digit,client_industry
311000,Food & Beverage Manufacturing
312000,Food & Beverage Manufacturing
326000,Plastics/Rubber
332000,Industrial Equipment/Machinery
333000,Industrial Equipment/Machinery
313000,Manufacturing
314000,Manufacturing
315000,Manufacturing
316000,Manufacturing
321000,Manufacturing
322000,Manufacturing
323000,Manufacturing
324000,Manufacturing
325000,Manufacturing
327000,Manufacturing
331000,Manufacturing
334000,Manufacturing
335000,Manufacturing
336000,Manufacturing
337000,Manufacturing
339000,Manufacturing
236000,Construction
237000,Construction
238000,Construction
481000,Logistics & Transportation
482000,Logistics & Transportation
483000,Logistics & Transportation
484000,Logistics & Transportation
485000,Logistics & Transportation
486000,Logistics & Transportation
487000,Logistics & Transportation
488000,Logistics & Transportation
493000,Warehousing & Distribution
721000,Hospitality/Hotels
722000,Hospitality/Hotels
441000,Retail
444000,Retail
445000,Retail
449000,Retail
455000,Retail
456000,Retail
457000,Retail
458000,Retail
459000,Retail
531000,Property Management/Real Estate
